,County,Year,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Avg Air Temp (F),Max Rel Hum (%),Min Rel Hum (%),Avg Rel Hum (%),Dew Point (F),Avg Wind Speed (mph),Wind Run (miles),Avg Soil Temp (F)
72,San Benito,2020,79.45000000000007,12.459999999999988,490.0315581854043,11.67672583826429,105.3,26.1,57.73826429980277,99.0,13.0,71.15581854043393,47.99211045364885,3.777514792899413,90.66942800788952,61.48540433925041
73,San Bernardino,2018,294.46,28.04000000000001,476.1091015169195,7.791190198366382,115.1,-3.6,60.09894982497078,100.0,0.0,42.511085180863475,34.63932322053682,4.519603267211201,108.49124854142353,58.10565927654612
74,San Bernardino,2019,283.5400000000004,75.29000000000009,471.912558685446,8.016079812206575,117.7,-4.3,58.487558685446,100.0,0.0,49.056338028169016,36.27611502347421,4.704694835680755,112.91161971830985,56.377171361502526
75,San Bernardino,2020,222.6200000000007,29.16,535.5272564789991,8.446112600536193,116.7,3.8,63.13386952636285,100.0,1.0,45.454870420017876,38.22502234137622,4.773547810545133,114.5355674709562,59.13789097408398
76,San Diego,2018,301.1099999999996,187.90999999999997,466.82408795602197,13.336431784107956,111.3,26.1,64.00749625187403,100.0,4.0,64.86706646676662,50.182008995502294,3.6493753123438313,87.57781109445264,66.75657171414296
77,San Diego,2019,264.88000000000034,88.2200000000002,454.2333155365723,13.359156433529105,114.9,26.1,63.52973838761343,100.0,0.0,67.01494927923117,50.51628403630542,3.3119060331019816,79.48254137746919,65.81601708489048
78,San Diego,2020,208.32,39.73000000000002,513.6645817044566,14.078967943706012,117.2,29.5,65.4060985144645,100.0,5.0,67.54773082942097,52.369874804381766,3.2388584831899974,77.71860828772472,68.3002345582486
79,San Joaquin,2018,207.0100000000003,43.26000000000002,438.008064516129,12.047800586510238,113.1,23.6,60.280351906158415,100.0,0.0,67.05351906158357,47.83453079178885,4.702785923753664,112.83599706744856,60.420821114369424
80,San Joaquin,2019,211.07000000000016,59.89000000000002,439.95762711864404,12.281355932203375,104.7,23.8,60.18128531073453,100.0,0.0,68.79237288135593,49.03170903954805,4.930014124293791,118.32796610169497,60.783686440678046
81,San Joaquin,2020,224.7599999999999,20.539999999999992,517.03664495114,12.763762214983707,108.6,27.3,63.35570032573291,100.0,12.0,64.3957654723127,50.19486970684036,4.666693811074915,111.95944625407174,63.24511400651469
82,San Luis Obispo,2018,173.48000000000025,47.85000000000033,426.7894327894328,11.900854700854694,105.3,23.8,58.569075369075534,100.0,4.0,70.67754467754467,48.1947163947164,3.480808080808083,83.52571872571869,62.225485625485625
83,San Luis Obispo,2019,195.15999999999988,69.71000000000019,439.9033149171271,11.583563535911594,101.6,22.3,57.36035911602216,100.0,3.0,71.97582872928177,47.582734806629894,3.462569060773476,83.09958563535915,61.41401933701658
84,San Luis Obispo,2020,152.49999999999963,18.069999999999983,490.46230158730157,11.718353174603179,110.3,19.9,57.86537698412693,100.0,11.0,71.38095238095238,48.03710317460314,3.2578373015873,78.19265873015863,62.194246031746005
85,San Mateo,2018,40.09000000000009,19.700000000000006,390.96944444444443,12.026944444444444,82.3,27.1,54.43305555555559,100.0,12.0,81.98055555555555,48.89361111111102,3.9180555555555587,94.02777777777777,57.70666666666664
86,San Mateo,2019,36.41000000000006,33.88000000000002,375.5115606936416,12.449710982658955,97.2,28.4,54.92890173410404,100.0,17.0,83.15317919075144,49.79913294797688,3.44277456647399,82.64971098265896,57.6630057803469
87,San Mateo,2020,32.93,8.069999999999997,451.30859375,13.297656250000003,95.2,29.9,55.80836653386456,100.0,18.0,83.23694779116465,50.53574297188757,3.800390624999999,91.18085937500005,60.28867187499999
