,Name,County,County IDs,Latitude,Longitude,Started,Year,Acres Burned,Cal Fire Incident,Major Incident
699,El Dorado Fire,Fresno,10,36.53,-120.21,2017-04-28 15:40:00+00:00,2017,976,FALSE,FALSE
655,Mud Fire,Lassen,18,40.44,-120.22,2017-08-29 14:36:00+00:00,2017,6042,FALSE,FALSE
1196,Windmill Fire,Santa Barbara,42,34.62,-120.22,2018-07-20 14:23:00+00:00,2018,110,TRUE,FALSE
789,Olive Fire,San Luis Obispo,40,35.78,-120.23,2017-05-02 14:32:00+00:00,2017,130,TRUE,FALSE
1506,Meadow Fire (Not a CAL FIRE incident),Modoc,25,41.44,-120.24,2019-08-02 16:53:18+00:00,2019,103,FALSE,FALSE
1162,Bear Fire,Merced,24,37.34,-120.24,2018-06-07 18:04:00+00:00,2018,200,TRUE,FALSE
1465,Merced Fire ,Merced,24,37.31,-120.24,2019-06-29 15:09:52+00:00,2019,210,TRUE,FALSE
729,Sonoma Fire,Fresno,10,36.45,-120.24,2017-05-10 15:27:00+00:00,2017,400,TRUE,FALSE
775,Olive Fire,San Luis Obispo,40,35.78,-120.24,2017-07-24 14:43:00+00:00,2017,150,TRUE,TRUE
550,Cotton Fire,Kern,15,35.77,-120.25,2016-06-11 15:04:00+00:00,2016,61,FALSE,FALSE
1212,Shandon Fire,San Luis Obispo,40,35.66,-120.26,2018-09-29 09:30:00+00:00,2018,80,TRUE,FALSE
657,Jayne Fire,Fresno,10,36.07,-120.27,2017-04-20 15:40:00+00:00,2017,5738,TRUE,TRUE
1427,Gillis Fire,San Luis Obispo,40,35.63,-120.27,2019-07-08 16:44:08+00:00,2019,974,TRUE,FALSE
1006,Drum Fire,Santa Barbara,42,34.72,-120.27,2017-12-16 12:21:00+00:00,2017,14,TRUE,FALSE
1426,W1 McDonald Fire,Lassen,18,40.94,-120.28,2019-08-08 18:42:41+00:00,2019,1020,FALSE,FALSE
719,Red Fire,San Luis Obispo,40,35.4,-120.28,2017-08-02 10:15:00+00:00,2017,460,TRUE,FALSE
724,Table Fire,El Dorado,9,38.85,-120.29,2017-10-13 13:16:00+00:00,2017,426,FALSE,FALSE
840,Camatta Fire,San Luis Obispo,40,35.44,-120.29,2017-08-02 10:33:00+00:00,2017,70,TRUE,FALSE
392,White Fire,Santa Barbara,42,34.95,-120.29,2015-08-01 14:32:00+00:00,2015,52,TRUE,FALSE
1045,Warner Mountain Lightning,Modoc,25,41.34,-120.3,2017-07-23 00:00:00+00:00,2017,0,FALSE,FALSE
1547,Horse Fire,Lassen,18,40.39,-120.3,2019-10-13 14:45:37+00:00,2019,55,FALSE,FALSE
32,Kyburz Fire,El Dorado,9,38.77,-120.3,2013-07-08 12:45:00+00:00,2013,572,FALSE,FALSE
362,Oak Fire,Tuolumne,55,38.05,-120.3,2015-09-08 13:23:00+00:00,2015,108,TRUE,TRUE
1173,Flat Fire,Tuolumne,55,37.81,-120.3,2018-06-24 13:54:00+00:00,2018,163,TRUE,TRUE
792,Coronado Fire,Mariposa,22,37.63,-120.3,2017-08-13 16:23:00+00:00,2017,125,TRUE,FALSE
1458,Lake Fire,Mariposa,22,37.52,-120.3,2019-07-08 15:30:14+00:00,2019,244,TRUE,FALSE
1500,Goose 2 Fire,Modoc,25,41.91,-120.31,2019-07-17 16:13:41+00:00,2019,128,FALSE,FALSE
973,Falls Fire,Tuolumne,55,37.66,-120.31,2017-08-01 16:33:00+00:00,2017,20,TRUE,FALSE
1575,Bitter Fire,San Luis Obispo,40,35.71,-120.31,2019-10-11 12:30:19+00:00,2019,30,TRUE,FALSE
947,4-10 Fire,Modoc,25,41.64,-120.32,2017-08-30 14:50:00+00:00,2017,27,TRUE,TRUE
649,Parker 2 Fire,Modoc,25,41.47,-120.32,2017-08-03 14:00:00+00:00,2017,7697,FALSE,FALSE
457,Soup Complex,Modoc,25,41.26,-120.32,2016-09-17 14:37:00+00:00,2016,2652,FALSE,FALSE
469,Marshes Fire,Tuolumne,55,37.8,-120.32,2016-09-26 12:20:00+00:00,2016,1080,TRUE,TRUE
746,Murphy Fire,Fresno,10,36.25,-120.32,2017-09-19 19:47:00+00:00,2017,237,TRUE,FALSE
776,Lucy Fire,San Luis Obispo,40,35.69,-120.32,2017-06-14 11:44:00+00:00,2017,150,TRUE,FALSE
632,Alamo Fire,San Luis Obispo,40,35.02,-120.32,2017-07-06 15:44:00+00:00,2017,28687,TRUE,TRUE
1215,Cruces Fire,Santa Barbara,42,34.54,-120.32,2018-07-18 11:55:00+00:00,2018,77,TRUE,FALSE
87,Murphy Fire,Tuolumne,55,37.92,-120.33,2013-06-02 13:30:00+00:00,2013,100,TRUE,FALSE
805,Coalinga Fire,Fresno,10,36.36,-120.33,2017-08-30 16:51:00+00:00,2017,102,TRUE,FALSE
1017,Shandon Fire,San Luis Obispo,40,35.69,-120.33,2017-05-07 16:41:00+00:00,2017,12,TRUE,FALSE
1496,R-1 Fire,Lassen,18,40.89,-120.34,2019-08-07 17:21:13+00:00,2019,130,FALSE,FALSE
247,Jackson Fire,Tuolumne,55,37.83,-120.34,2014-09-04 11:51:00+00:00,2014,70,TRUE,FALSE
1081,Planada Fire,Merced,24,37.39,-120.34,2018-06-15 10:34:00+00:00,2018,4564,TRUE,FALSE
1095,Turkey Fire,Monterey,27,35.85,-120.34,2018-08-06 12:59:00+00:00,2018,2225,TRUE,FALSE
915,Banderilla Fire,Mariposa,22,37.66,-120.35,2017-07-07 15:50:00+00:00,2017,36,TRUE,FALSE
1122,Tumbleweed Fire,Lassen,18,40.38,-120.36,2018-06-14 17:45:00+00:00,2018,646,FALSE,FALSE
793,Twist Fire,Tuolumne,55,37.9,-120.36,2017-07-30 16:28:00+00:00,2017,124,TRUE,FALSE
944,4-4 Fire,Modoc,25,41.48,-120.37,2017-08-30 11:38:00+00:00,2017,28,TRUE,FALSE
721,Monterey Fire,Fresno,10,36.62,-120.37,2017-06-11 17:15:00+00:00,2017,450,TRUE,FALSE
643,Elm Fire,Fresno,10,36.12,-120.37,2017-05-18 13:11:00+00:00,2017,10343,TRUE,TRUE
90,Davis Creek Complex,Modoc,25,41.73,-120.38,2013-09-05 15:57:00+00:00,2013,97,FALSE,FALSE
1453,Snowstorm Fire,Lassen,18,40.68,-120.39,2019-07-05 16:37:04+00:00,2019,263,FALSE,FALSE
745,Huasna Fire,San Luis Obispo,40,35.12,-120.39,2017-09-20 13:41:00+00:00,2017,245,TRUE,TRUE
1359,Creek Fire,San Luis Obispo,40,35.06,-120.39,2018-06-21 16:45:00+00:00,2018,10,TRUE,FALSE
374,Kyburz Fire,El Dorado,9,38.78,-120.4,2015-07-23 14:00:00+00:00,2015,75,FALSE,FALSE
1622,Bridge Fire,Stanislaus,50,37.49,-120.4,2019-09-13 20:00:29+00:00,2019,11,TRUE,FALSE
508,Shedd Fire,San Luis Obispo,40,35.62,-120.4,2016-05-10 16:11:00+00:00,2016,150,TRUE,FALSE
709,Jacksonville Fire,Tuolumne,55,37.91,-120.41,2017-07-29 13:50:00+00:00,2017,690,TRUE,TRUE
761,Wild Fire,Fresno,10,36.7,-120.41,2017-06-11 10:46:00+00:00,2017,186,TRUE,FALSE
1420,McMillan Fire,San Luis Obispo,40,35.66,-120.41,2019-06-12 12:48:00+00:00,2019,1764,TRUE,FALSE
1007,Coast Fire,Santa Barbara,42,34.61,-120.41,2017-12-14 12:59:00+00:00,2017,14,TRUE,FALSE
1598,Preston Fire,Tuolumne,55,37.95,-120.42,2019-08-08 16:16:40+00:00,2019,21,TRUE,FALSE
828,Holiday Fire,El Dorado,9,38.87,-120.44,2017-12-28 20:51:00+00:00,2017,80,FALSE,FALSE
594,Alder Fire,El Dorado,9,38.74,-120.44,2016-08-06 15:00:00+00:00,2016,25,FALSE,FALSE
936,Juniper Fire,Fresno,10,36.1,-120.44,2017-08-23 13:28:00+00:00,2017,31,TRUE,FALSE
888,Pozo Fire,San Luis Obispo,40,35.29,-120.44,2017-10-09 14:30:00+00:00,2017,45,FALSE,FALSE
1512,Thompson Fire ,San Luis Obispo,40,35.0,-120.44,2019-07-24 20:09:59+00:00,2019,95,TRUE,FALSE
722,Rucker Fire,Santa Barbara,42,34.67,-120.44,2017-09-29 14:42:00+00:00,2017,444,TRUE,FALSE
1129,Hyatt Fire,Lassen,18,40.32,-120.45,2018-06-27 15:09:00+00:00,2018,441,TRUE,FALSE
122,Bridges Fire,Calaveras,5,38.06,-120.45,2013-08-17 10:11:00+00:00,2013,46,TRUE,TRUE
913,Red Fire,Tuolumne,55,37.85,-120.45,2017-06-11 18:49:00+00:00,2017,38,TRUE,FALSE
217,Hetch Hetchy Fire,Tuolumne,55,37.79,-120.45,2014-06-05 13:04:00+00:00,2014,269,TRUE,FALSE
204,59 Fire,Tuolumne,55,37.77,-120.45,2014-06-04 11:45:00+00:00,2014,487,TRUE,FALSE
454,Curry Fire,Fresno,10,36.07,-120.45,2016-07-01 17:16:00+00:00,2016,2944,TRUE,TRUE
199,Miguelito Fire,Santa Barbara,42,34.61,-120.45,2014-05-13 14:00:00+00:00,2014,632,TRUE,TRUE
941,Ice Fire,El Dorado,9,38.78,-120.46,2017-10-10 15:36:00+00:00,2017,29,FALSE,FALSE
1183,Parrots Fire,Calaveras,5,38.08,-120.46,2018-08-05 04:19:00+00:00,2018,136,TRUE,FALSE
1379,Mud Fire ,Fresno,10,36.32,-120.46,2019-10-18 12:17:32+00:00,2019,137,TRUE,FALSE
1462,Lopez Fire,San Luis Obispo,40,35.21,-120.46,2019-09-21 14:26:00+00:00,2019,220,FALSE,TRUE
994,Rocky Fire,San Luis Obispo,40,35.56,-120.47,2017-05-20 13:11:00+00:00,2017,17,TRUE,FALSE
736,Stone Fire,San Luis Obispo,40,35.42,-120.47,2017-07-09 13:49:00+00:00,2017,340,TRUE,TRUE
769,Peg Fire,Lassen,18,40.81,-120.49,2017-08-26 12:35:00+00:00,2017,157,TRUE,FALSE
852,Lake Fire,Stanislaus,50,37.65,-120.49,2017-07-08 11:00:00+00:00,2017,62,TRUE,FALSE
1245,Camino Fire,San Luis Obispo,40,35.18,-120.49,2018-10-19 14:10:00+00:00,2018,58,TRUE,FALSE
909,Table Fire,Tuolumne,55,37.9,-120.5,2017-09-19 00:22:00+00:00,2017,39,TRUE,FALSE
682,Hill Fire,San Luis Obispo,40,35.4,-120.5,2017-06-26 15:27:00+00:00,2017,1598,TRUE,TRUE
442,Mineral Fire,Fresno,10,36.1,-120.51,2016-08-09 13:08:00+00:00,2016,7050,TRUE,TRUE
563,Kugelman Fire,Lake,17,36.1,-120.51,2016-08-09 17:30:00+00:00,2016,45,TRUE,FALSE
795,Margarita Fire,San Luis Obispo,40,35.32,-120.51,2017-09-03 16:59:00+00:00,2017,120,TRUE,FALSE
571,Phoenix Fire,Nevada,29,39.39,-120.52,2016-09-07 15:09:00+00:00,2016,38,FALSE,FALSE
812,Parkfield Fire,Fresno,10,36.09,-120.52,2017-09-03 09:23:00+00:00,2017,100,TRUE,FALSE
895,Jones Fire,Modoc,25,41.38,-120.53,2017-06-03 13:09:00+00:00,2017,42,TRUE,FALSE
787,Point Fire,Calaveras,5,38.4,-120.53,2017-10-09 01:10:00+00:00,2017,130,TRUE,TRUE
536,Tulloch Fire,Tuolumne,55,37.93,-120.53,2016-05-30 15:10:00+00:00,2016,85,TRUE,TRUE
1009,Hog Fire,Monterey,27,35.8,-120.53,2017-06-09 16:15:00+00:00,2017,14,TRUE,FALSE
1494,Horse Fire,Lassen,18,40.56,-120.54,2019-08-24 16:33:58+00:00,2019,131,FALSE,FALSE
438,Canyon Fire,Santa Barbara,42,34.63,-120.54,2016-09-17 17:20:00+00:00,2016,12518,FALSE,FALSE
340,Creek Fire,Fresno,10,40.4,-120.55,2015-09-09 14:30:00+00:00,2015,170,TRUE,FALSE
