"County","Sector","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","Total Usage"
"EL DORADO","Non-Residential","     460.489546","     469.090856","     479.460555","     460.084823","     449.133506","     468.718054","     485.293929","     488.102454","     480.680149","     476.557161","     498.260475","     515.146297","     514.797407","     519.415503","     475.125327","     442.098754","     419.717387","     458.928107","     478.336821","     474.338387","     454.567158","     433.336892","     423.822846","     422.535900","     398.007576","     369.031987","     369.163780","     363.447253","     342.454657","     352.182173","   13442.325720"
"EL DORADO","Residential","     767.401080","     745.355819","     775.815183","     750.163604","     720.944651","     721.053363","     756.189231","     764.653388","     762.542842","     763.164377","     769.955199","     771.294737","     760.414893","     759.990804","     731.837794","     723.204229","     689.442079","     665.898217","     635.349995","     659.090595","     645.347826","     634.835862","     591.638586","     576.954082","     558.651068","     548.553618","     550.149822","     529.892679","     539.328355","     524.585004","   20393.698982"
"EL DORADO","Total","    1227.890625","    1214.446675","    1255.275737","    1210.248427","    1170.078156","    1189.771417","    1241.483160","    1252.755842","    1243.222991","    1239.721538","    1268.215673","    1286.441034","    1275.212300","    1279.406307","    1206.963121","    1165.302983","    1109.159467","    1124.826324","    1113.686816","    1133.428982","    1099.914984","    1068.172754","    1015.461433","     999.489981","     956.658644","     917.585605","     919.313603","     893.339931","     881.783012","     876.767177","   33836.024699"
"FRESNO","Non-Residential","    4590.958830","    4876.051392","    4605.343633","    4937.744443","    5000.185874","    4976.327914","    4811.390286","    4672.291728","    4291.360717","    4355.553354","    4458.700208","    4566.573032","    4583.044061","    4021.519755","    3965.728995","    4212.861990","    3977.704340","    4204.088360","    4107.525754","    4114.546983","    3984.103936","    3587.611850","    3841.863633","    3657.934191","    3540.137855","    3675.631792","    3454.926108","    3663.047441","    3431.870964","    3257.164975","  125423.794394"
"FRESNO","Residential","    2796.305742","    2726.357511","    2775.390144","    2643.411511","    2655.810295","    2692.471908","    2687.651100","    2704.692954","    2589.907104","    2545.434294","    2615.173548","    2550.992882","    2522.010894","    2489.857600","    2376.999918","    2351.231518","    2299.209567","    2157.135658","    2082.557980","    2280.805890","    2109.265235","    2053.582810","    2033.819526","    2015.179260","    1895.082375","    1874.339769","    1832.378756","    1865.168616","    1840.839026","    1785.877540","   69848.940931"
"FRESNO","Total","    7387.264573","    7602.408903","    7380.733777","    7581.155954","    7655.996169","    7668.799822","    7499.041386","    7376.984682","    6881.267821","    6900.987648","    7073.873757","    7117.565914","    7105.054955","    6511.377355","    6342.728912","    6564.093508","    6276.913907","    6361.224018","    6190.083734","    6395.352873","    6093.369171","    5641.194660","    5875.683159","    5673.113450","    5435.220230","    5549.971560","    5287.304864","    5528.216057","    5272.709990","    5043.042515","  195272.735324"
"GLENN","Non-Residential","     297.269914","     315.061495","     295.350036","     275.396752","     293.929748","     289.859431","     256.884296","     213.683522","     203.126836","     206.201295","     211.150277","     237.648134","     260.608429","     288.622655","     271.771993","     329.802293","     271.842726","     401.663116","     305.576004","     275.703534","     296.276346","     261.330357","     287.313489","     257.774030","     285.279977","     225.332979","     219.644395","     221.887668","     220.841250","     325.951850","    8102.784827"
"GLENN","Residential","      96.828073","      92.096943","      95.629884","      90.691671","      90.110176","      91.392872","      92.806720","      93.675018","      91.818337","      91.069867","      93.510276","      92.071723","      90.989488","      91.680584","      89.316370","      87.457434","      85.005914","      83.135757","      79.871643","      85.039992","      84.031922","      82.054330","      80.814743","      81.231995","      77.634517","      77.620997","      76.907618","      78.464810","      79.317239","      78.498601","    2600.775514"
"GLENN","Total","     394.097988","     407.158438","     390.979920","     366.088423","     384.039924","     381.252302","     349.691017","     307.358539","     294.945172","     297.271163","     304.660553","     329.719857","     351.597916","     380.303239","     361.088363","     417.259727","     356.848640","     484.798873","     385.447646","     360.743525","     380.308267","     343.384687","     368.128232","     339.006026","     362.914494","     302.953975","     296.552012","     300.352478","     300.158489","     404.450451","   10703.560336"
"HUMBOLDT","Non-Residential","     422.992092","     428.053986","     428.259118","     437.411749","     434.660543","     444.969853","     449.678170","     434.786575","     439.827059","     448.537833","     445.944277","     570.890560","     629.254422","     641.748221","     602.258944","     623.607081","     602.120324","     648.371068","     668.768990","     828.723554","     831.586726","     808.086762","     753.211778","     772.675071","     819.066201","     812.396847","     763.069203","     734.782724","     758.547480","     731.229845","   18415.517056"
"HUMBOLDT","Residential","     368.372080","     371.939616","     396.017892","     398.940611","     390.005025","     395.915896","     441.833830","     465.727480","     476.234610","     478.859617","     461.947621","     440.223551","     416.777097","     380.882880","     359.018784","     337.922360","     315.452239","     308.806379","     296.904247","     310.706164","     310.967603","     294.940346","     287.670931","     279.051340","     282.061741","     273.032342","     278.614872","     269.871863","     277.481786","     276.637302","   10642.818105"
"HUMBOLDT","Total","     791.364172","     799.993602","     824.277010","     836.352360","     824.665568","     840.885749","     891.512000","     900.514055","     916.061669","     927.397450","     907.891897","    1011.114111","    1046.031519","    1022.631101","     961.277729","     961.529440","     917.572563","     957.177447","     965.673236","    1139.429718","    1142.554329","    1103.027108","    1040.882709","    1051.726411","    1101.127942","    1085.429189","    1041.684075","    1004.654587","    1036.029267","    1007.867146","   29058.335159"
"IMPERIAL","Non-Residential","     840.589655","     831.318924","     817.450656","     895.952526","     884.977279","     910.369717","     920.033589","     931.260079","     915.344630","     894.413782","     912.240599","     961.130543","     877.690028","     908.801979","     936.009552","     948.427988","     912.367114","     810.702212","     869.703226","     721.711678","     559.984103","     620.023033","     813.513137","     822.645625","     810.426160","     794.266556","     763.275605","     686.033622","     644.086319","     640.630874","   24855.380790"
"IMPERIAL","Residential","     575.201252","     636.271713","     627.716680","     544.540489","     534.110851","     536.118501","     530.486395","     539.419827","     513.962429","     497.948453","     514.217101","     502.316127","     522.128125","     527.442756","     486.203616","     478.098302","     476.965254","     445.546523","     464.963026","     370.534379","     403.588289","     367.229676","     350.996039","     330.261908","     304.076615","     310.161299","      67.399539","      67.375904","      77.573168","     136.984365","   12739.838601"
"IMPERIAL","Total","    1415.790908","    1467.590638","    1445.167336","    1440.493016","    1419.088130","    1446.488218","    1450.519984","    1470.679906","    1429.307059","    1392.362235","    1426.457700","    1463.446670","    1399.818154","    1436.244735","    1422.213168","    1426.526290","    1389.332368","    1256.248736","    1334.666253","    1092.246057","     963.572392","     987.252709","    1164.509176","    1152.907533","    1114.502774","    1104.427855","     830.675143","     753.409526","     721.659488","     777.615239","   37595.219396"
