,County,Year,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Avg Air Temp (F),Max Rel Hum (%),Min Rel Hum (%),Avg Rel Hum (%),Dew Point (F),Avg Wind Speed (mph),Avg Soil Temp (F)
32,Colusa,2018,52.74000000000001,9.269999999999998,406.6343490304709,12.259833795013858,103.2,21.8,61.29390581717449,100.0,8.0,63.85872576177285,47.93684210526319,5.0146814404432165,61.60110803324097
33,Colusa,2019,52.79000000000004,19.290000000000003,430.23512747875355,12.798866855524084,109.2,26.8,61.18583569405101,100.0,0.0,67.6798866855524,49.266855524079354,5.5878186968838515,62.32407932011334
34,Colusa,2020,46.42000000000001,1.6500000000000001,481.96062992125985,13.354724409448826,109.5,29.2,64.56929133858267,100.0,12.0,62.06299212598425,50.34015748031498,5.464173228346451,63.61456692913386
35,Contra Costa,2013,166.59999999999977,14.499999999999991,440.18694885361555,10.257495590828924,105.5,18.5,57.75176366843032,100.0,0.0,61.529982363315696,43.74074074074069,4.273192239858905,59.34102564102567
36,Contra Costa,2014,201.7499999999996,108.42000000000026,418.21403991741226,11.424725274725278,104.5,21.2,59.18825155494125,100.0,0.0,67.00832177531207,47.08536754507627,4.431662087912097,61.74294562973161
37,Contra Costa,2015,201.45999999999987,57.01000000000007,422.3595890410959,11.664948453608233,105.6,4.3,58.928466076696125,100.0,5.0,68.96598639455782,47.75449735449731,4.407191780821914,61.27363013698625
38,Contra Costa,2016,218.2699999999999,119.19000000000032,411.24642190416927,12.50575719649564,104.4,20.8,58.82924704418163,100.0,10.0,71.74950690335305,48.96907894736841,4.741099312929415,61.11312189054723
39,Contra Costa,2017,250.76000000000033,124.53000000000029,407.3787185354691,11.76249999999999,107.4,12.5,59.007233065442044,100.0,11.0,68.2170818505338,47.33618030842229,5.042824601366751,61.15527842227388
40,Contra Costa,2018,232.59000000000017,74.29000000000013,424.7156454491374,11.262998215347986,103.5,24.5,58.175371802498454,100.0,0.0,68.11183819155265,46.494348602022605,4.538726948245098,60.19214753123151
41,Contra Costa,2019,239.88999999999962,108.86000000000018,423.4190966266438,11.605831903945091,105.5,23.3,58.38662092624347,100.0,8.0,69.4865637507147,47.36335048599205,5.006003430531732,60.77175528873645
42,Contra Costa,2020,206.21999999999983,31.73,497.85102880658434,11.721399176954753,108.0,12.5,60.45637860082311,100.0,6.0,65.27242798353909,47.675473251028826,5.299835390946513,62.22436213991779
43,El Dorado,2013,118.72999999999993,16.019999999999996,457.7706043956044,7.925961538461535,102.3,19.2,59.51112637362634,98.0,9.0,46.520604395604394,37.01318681318676,4.4971153846153795,58.244093406593365
44,El Dorado,2014,116.78999999999998,67.76,435.6107290233838,8.469041095890415,99.7,26.6,61.22861072902331,97.0,8.0,48.46969696969697,39.068595041322304,4.742191780821921,59.925447042641075
45,El Dorado,2015,116.43000000000005,46.240000000000016,427.96849315068494,8.333561643835624,99.7,27.3,60.76027397260271,96.0,8.0,48.11934156378601,38.747736625514406,4.60972602739726,59.88000000000006
46,El Dorado,2016,113.04000000000018,81.1,431.23333333333335,8.36833333333333,100.7,26.1,60.15208333333328,95.0,7.0,51.30362116991643,39.30069637883008,4.7375000000000025,59.3804166666666
47,El Dorado,2017,110.77000000000002,99.35000000000004,423.53972602739725,8.586126373626378,104.3,15.2,59.99328767123288,100.0,8.0,51.290633608815426,39.338016528925635,4.555082417582421,58.71657534246576
48,El Dorado,2018,113.58000000000004,59.43,447.8563458856346,8.339748953974896,100.0,20.0,59.94281729428174,100.0,5.0,49.53556485355649,38.49149232914922,4.421617852161782,58.964156206415645
49,El Dorado,2019,105.68000000000012,72.94,425.0056179775281,9.874297752808978,103.3,23.5,59.644522471910065,100.0,9.0,57.912921348314605,42.787499999999966,4.779213483146069,57.70126404494381
