County,Year,Name,County IDs,Latitude,Longitude,Started,Acres Burned,Cal Fire Incident,Major Incident,ETo (in),Precip (in),Sol Rad (Ly/day),Avg Vap Pres (mBars),Max Air Temp (F),Min Air Temp (F),Avg Air Temp (F),Max Rel Hum (%),Min Rel Hum (%),Avg Rel Hum (%),Dew Point (F),Avg Wind Speed (mph),Avg Soil Temp (F),MWh,Ocean Proximity,Population,Households,Average Income,Average House Value
Madera,2013,Gold Fire,20,37.12,-119.64,2013-04-30 12:59:00+00:00,274,t,f,504.3999999999992,23.589999999999982,459.08089500860586,10.266792842395057,109.1,13.9,62.67023399862347,100,6,53.01776384535005,43.453187042842075,4.598176187198896,62.66254733218598,1577.58,INLAND,90967,29446,28228,89203
Los Angeles,2013,Madre Fire,19,34.15,-117.91,2013-09-23 18:00:00+00:00,268,f,f,585.5699999999993,40.279999999999994,448.6434279415817,10.350647204626803,110.5,9.6,62.793248828878525,100,0,51.038658328595794,41.9098351335986,4.157583264519675,63.35875530410175,68373.3,<1H OCEAN,8777895,2970038,43788,255083
San Diego,2013,Lyon Fire,37,32.71,-116.75,2013-09-09 13:09:00+00:00,263,t,t,308.8899999999999,20.46,433.4232536764706,12.538055937643307,116.8,21.4,62.57987161852359,100,0,64.1259990597085,47.9968970380818,3.690004585052727,65.07215496368055,19687.54,<1H OCEAN,2444026,882162,41120,208943
San Bernardino,2013,Sharp Fire,36,34.35,-117.62,2013-08-08 12:15:00+00:00,243,f,f,255.9,17.669999999999987,474.43684500827356,6.23257993384785,119.1,1.7,58.71990077177513,100,4,36.917640511964386,28.9683917640512,4.885777287761852,56.7788150807899,14375.33,<1H OCEAN,1406961,464114,34659,127901
Alameda,2013,Vasco Fire,1,37.78,-121.74,2013-06-08 10:16:00+00:00,240,t,f,100.46999999999991,8.369999999999997,428.3008241758242,10.923076923076914,103.4,20.9,57.32074175824183,100,11,66.5013812154696,45.552071823204464,3.295329670329668,60.82774725274732,10618.66,<1H OCEAN,1257144,475074,43726,228486
Placer,2013,PFE Fire,31,38.73,-121.38,2013-06-13 11:28:00+00:00,237,t,f,56.37999999999996,5.700000000000001,429.4340659340659,9.8423076923077,106.6,26.4,62.42609890109892,100,10,50.901685393258425,42.3699438202247,3.4634615384615386,62.84835164835167,2877.46,INLAND,173793,64326,39368,172386
Monterey,2013,Tassajara Fire,27,36.31,-121.35,2013-07-17 13:23:00+00:00,213,f,f,357.58999999999907,32.51999999999997,420.5185853482497,10.869780021637219,103.8,17.7,54.40367700072106,100,8,73.51939416328038,45.78913926856314,4.481795241528478,60.621278140886055,2634.33,<1H OCEAN,346310,112784,38735,227568
San Bernardino,2013,Sierra Fire,36,34.2,-117.42,2013-09-24 15:51:00+00:00,200,f,f,255.9,17.669999999999987,474.43684500827356,6.23257993384785,119.1,1.7,58.71990077177513,100,4,36.917640511964386,28.9683917640512,4.885777287761852,56.7788150807899,14375.33,<1H OCEAN,1406961,464114,34659,127901
Shasta,2013,Burney Lightning Series (Warner Fire),45,40.54,-121.38,2013-08-19 17:48:00+00:00,196,t,t,92.75000000000011,18.709999999999994,429.9792817679558,8.154820936639119,112.3,-13.4,54.40509641873277,100,8,54.41460055096419,36.79297520661157,4.0756198347107535,56.728512396694256,1548.72,INLAND,147036,55966,26161,91451
Napa,2013,Silverado Fire,28,38.38,-122.31,2013-11-21 21:39:00+00:00,190,t,t,102.21000000000008,9.519999999999998,424.5508241758242,10.633104395604398,103.7,17.6,56.36634615384619,98,0,66.99035812672176,44.68209366391184,3.6024725274725324,58.91208791208789,1051.54,<1H OCEAN,108030,41264,39798,210965
Santa Barbara,2013,Olive Fire,42,34.61,-120.07,2013-05-28 15:24:00+00:00,170,t,f,307.2499999999988,44.73999999999999,438.68589743589746,10.707692307692303,103.8,12.8,56.61877289377298,100,7,67.1773082223243,44.83105190629303,4.289194139194143,61.79130643611911,3374.32,<1H OCEAN,356294,125486,42938,274577
Yolo,2013,Capay Fire,57,38.67,-122.09,2013-11-04 11:41:00+00:00,163,t,f,123.09999999999998,15.079999999999991,439.2493125572869,10.148626373626362,108.1,22.1,60.83003663003659,98,8,54.46520146520147,43.232600732600716,4.40558608058608,61.439344262295045,1699.95,INLAND,138342,49868,30126,140261
El Dorado,2013,50 Fire,9,38.64,-121.08,2013-07-19 14:12:00+00:00,163,t,f,118.72999999999993,16.019999999999996,457.7706043956044,7.925961538461535,102.3,19.2,59.51112637362634,98,9,46.520604395604394,37.01318681318676,4.4971153846153795,58.244093406593365,1241.48,INLAND,123513,45832,34418,147732
Sacramento,2013,50 Fire,34,38.64,-121.08,2013-07-19 14:12:00+00:00,163,t,f,115.75,8.099999999999998,444.2857142857143,10.78516483516485,108.3,22.4,60.52623626373613,98,0,58.872252747252745,45.19697802197799,5.46304945054945,62.272115384615304,10744.33,INLAND,1038540,393377,35381,137383
Sonoma,2013,Crane Fire,49,38.35,-122.65,2013-10-04 12:25:00+00:00,159,t,f,139.90000000000026,19.539999999999992,421.0123711340206,10.127197802197799,101.9,16,53.1677884615384,100,0,71.2568870523416,43.42252066115705,3.229052197802201,58.54069423929101,2964.66,<1H OCEAN,386813,149006,37876,211934
Sonoma,2013,Lakeville Fire,49,38.18,-122.51,2013-07-26 13:45:00+00:00,158,t,f,139.90000000000026,19.539999999999992,421.0123711340206,10.127197802197799,101.9,16,53.1677884615384,100,0,71.2568870523416,43.42252066115705,3.229052197802201,58.54069423929101,2964.66,<1H OCEAN,386813,149006,37876,211934
Alameda,2013,Highland Fire,1,37.6,-121.72,2013-10-04 07:35:00+00:00,150,t,f,100.46999999999991,8.369999999999997,428.3008241758242,10.923076923076914,103.4,20.9,57.32074175824183,100,11,66.5013812154696,45.552071823204464,3.295329670329668,60.82774725274732,10618.66,<1H OCEAN,1257144,475074,43726,228486
Riverside,2013,Redlands Fire,33,33.99,-117.16,2013-07-16 17:48:00+00:00,150,t,f,705.7600000000024,29.75000000000001,462.86552440290757,10.856196414653157,119.7,19,67.77426050856255,100,0,45.495943470295735,43.821015440984,4.654099636741037,66.37323980254612,15138.42,<1H OCEAN,1159159,400110,34210,141866
Stanislaus,2013,Diablo Fire,50,37.44,-121.2,2013-07-12 15:35:00+00:00,150,t,f,174.53000000000043,10.539999999999987,451.2197802197802,10.936721611721609,104.1,20.9,59.58007380073795,99,0,61.117158671586715,45.477952029520296,4.918956043956049,61.116300366300365,4670.94,INLAND,370481,125365,30382,133591
Fresno,2013,George Fire,10,36.72,-119.22,2013-06-25 13:36:00+00:00,150,t,f,504.3999999999992,23.589999999999982,459.08089500860586,10.266792842395057,109.1,13.9,62.67023399862347,100,6,53.01776384535005,43.453187042842075,4.598176187198896,62.66254733218598,7499.04,INLAND,658377,218167,29646,86713
Butte,2013,Neal Fire,4,39.63,-121.54,2013-05-22 00:56:00+00:00,150,t,t,51.43999999999999,9.329999999999998,427.1923076923077,11.56868131868132,105.5,19.4,59.51895604395608,100,0,62.78512396694215,46.00909090909088,3.3604395604395605,60.376373626373635,1502.98,INLAND,182120,71665,23777,90108
Los Angeles,2013,Magic Fire,19,34.42,-118.59,2013-05-28 11:30:00+00:00,149,t,f,585.5699999999993,40.279999999999994,448.6434279415817,10.350647204626803,110.5,9.6,62.793248828878525,100,0,51.038658328595794,41.9098351335986,4.157583264519675,63.35875530410175,68373.3,<1H OCEAN,8777895,2970038,43788,255083
Tulare,2013,Angora Fire,54,36.26,-118.46,2013-09-08 11:53:00+00:00,134,f,f,113.41000000000007,6.949999999999998,454.00961538461536,10.660660247592848,107.7,19.7,61.93859890109901,100,9,55.42916093535076,44.84869325997247,3.026923076923078,64.61731301939065,4286.39,INLAND,309025,97400,25904,79152
Sonoma,2013,Yellow Fire,49,38.64,-122.66,2013-05-01 02:01:00+00:00,125,t,t,139.90000000000026,19.539999999999992,421.0123711340206,10.127197802197799,101.9,16,53.1677884615384,100,0,71.2568870523416,43.42252066115705,3.229052197802201,58.54069423929101,2964.66,<1H OCEAN,386813,149006,37876,211934
Solano,2013,California Fire,48,38.09,-122.14,2013-06-18 15:18:00+00:00,124,t,f,122.6500000000001,11.009999999999996,448.1084558823529,10.067279411764687,107.3,20.1,59.57619485294125,100,5,56.728860294117645,42.95707720588234,5.879871323529404,60.80238970588237,3228.34,INLAND,335352,112596,40955,155272
Merced,2013,152 Fire,24,37.04,-121.01,2013-06-04 15:42:00+00:00,124,t,f,118.82000000000008,44.83,454.06280193236717,10.074095238095243,107.3,13.7,59.92180952380953,100,6,56.64380952380952,43.34247619047616,4.764,63.372545281220226,3056.88,INLAND,176457,55077,26798,94462
Riverside,2013,Smiley Fire,33,33.96,-117.19,2013-05-25 14:59:00+00:00,124,t,f,705.7600000000024,29.75000000000001,462.86552440290757,10.856196414653157,119.7,19,67.77426050856255,100,0,45.495943470295735,43.821015440984,4.654099636741037,66.37323980254612,15138.42,<1H OCEAN,1159159,400110,34210,141866
El Dorado,2013,Union Fire,9,38.68,-120.84,2013-08-16 13:55:00+00:00,116,t,t,118.72999999999993,16.019999999999996,457.7706043956044,7.925961538461535,102.3,19.2,59.51112637362634,98,9,46.520604395604394,37.01318681318676,4.4971153846153795,58.244093406593365,1241.48,INLAND,123513,45832,34418,147732
San Bernardino,2013,Cleghorn Fire,36,34.29,-117.45,2013-08-17 17:25:00+00:00,110,f,f,255.9,17.669999999999987,474.43684500827356,6.23257993384785,119.1,1.7,58.71990077177513,100,4,36.917640511964386,28.9683917640512,4.885777287761852,56.7788150807899,14375.33,<1H OCEAN,1406961,464114,34659,127901
Fresno,2013,Clinton Fire,10,36.77,-119.63,2013-06-13 11:54:00+00:00,108,t,f,504.3999999999992,23.589999999999982,459.08089500860586,10.266792842395057,109.1,13.9,62.67023399862347,100,6,53.01776384535005,43.453187042842075,4.598176187198896,62.66254733218598,7499.04,INLAND,658377,218167,29646,86713
Monterey,2013,Freeman Fire,27,36.15,-120.9,2013-06-29 14:09:00+00:00,105,t,f,357.58999999999907,32.51999999999997,420.5185853482497,10.869780021637219,103.8,17.7,54.40367700072106,100,8,73.51939416328038,45.78913926856314,4.481795241528478,60.621278140886055,2634.33,<1H OCEAN,346310,112784,38735,227568
Los Angeles,2013,Bee Fire,19,34.32,-118.31,2013-08-09 17:15:00+00:00,100,f,f,585.5699999999993,40.279999999999994,448.6434279415817,10.350647204626803,110.5,9.6,62.793248828878525,100,0,51.038658328595794,41.9098351335986,4.157583264519675,63.35875530410175,68373.3,<1H OCEAN,8777895,2970038,43788,255083
Tuolumne,2013,Murphy Fire,55,37.92,-120.33,2013-06-02 13:30:00+00:00,100,t,f,174.53000000000043,10.539999999999987,451.2197802197802,10.936721611721609,104.1,20.9,59.58007380073795,99,0,61.117158671586715,45.477952029520296,4.918956043956049,61.116300366300365,460.72,INLAND,48456,17953,28035,124328
San Diego,2013,Border Fire,37,32.56,-116.9,2013-05-22 16:14:00+00:00,100,t,f,308.8899999999999,20.46,433.4232536764706,12.538055937643307,116.8,21.4,62.57987161852359,100,0,64.1259990597085,47.9968970380818,3.690004585052727,65.07215496368055,19687.54,<1H OCEAN,2444026,882162,41120,208943
Mendocino,2013,Highland Fire,23,38.93,-122.97,2013-09-28 13:57:00+00:00,98,t,f,56.60999999999997,5.98,477.90934065934067,9.7526170798898,106.8,15.2,55.84655647382922,96,7,62.19834710743802,42.440495867768625,3.8667582417582413,59.02369146005509,593.19,<1H OCEAN,79891,30231,26864,122931
Modoc,2013,Davis Creek Complex,25,41.73,-120.38,2013-09-05 15:57:00+00:00,97,f,f,48.360000000000056,5.1199999999999966,417.8448753462604,6.095027624309385,101.3,-15,45.10718232044198,100,10,58.052486187845304,29.712154696132593,4.750552486187845,50.0675141242938,169.1,INLAND,9678,3711,22668,51162
San Bernardino,2013,Little Fire,36,33.64,-116.71,2013-08-24 15:09:00+00:00,97,f,f,255.9,17.669999999999987,474.43684500827356,6.23257993384785,119.1,1.7,58.71990077177513,100,4,36.917640511964386,28.9683917640512,4.885777287761852,56.7788150807899,14375.33,<1H OCEAN,1406961,464114,34659,127901
