Name,County,County IDs,Latitude,Longitude,Started,Year,Acres Burned,Cal Fire Incident,Major Incident
Web Fire,Butte,4,39.63,-121.54,2014-07-28 13:11:00+00:00,2014,389,True,True
Highway Fire,San Diego,37,33.31,-117.16,2014-05-14 13:00:00+00:00,2014,380,True,True
Pierce Fire,Riverside,33,33.95,-117.4,2014-03-15 16:37:00+00:00,2014,350,True,False
Red Fire,Humboldt,12,40.88,-123.77,2014-01-04 12:00:00+00:00,2014,333,True,False
Courtney Fire,Madera,20,37.31,-119.6,2014-09-14 13:36:00+00:00,2014,320,True,True
Dog Rock Fire,Mariposa,22,37.0,-119.97,2014-10-07 15:05:00+00:00,2014,311,False,False
Bridge Fire,Mariposa,22,37.49,-120.0,2014-09-05 12:39:00+00:00,2014,300,True,True
Gun Club Fire,Merced,24,37.2,-120.71,2014-07-24 12:06:00+00:00,2014,300,True,False
Tecolote Fire,Los Angeles,19,34.27,-117.87,2014-08-17 14:30:00+00:00,2014,274,False,False
Hetch Hetchy Fire,Tuolumne,55,37.79,-120.45,2014-06-05 13:04:00+00:00,2014,269,True,False
Dog Bar Fire,Nevada,29,39.11,-121.0,2014-09-13 14:07:00+00:00,2014,247,True,True
Tehama Fire,Tehama,52,40.01,-122.35,2014-06-13 12:23:00+00:00,2014,225,True,False
Banner Fire,San Diego,37,33.08,-116.58,2014-07-03 10:43:00+00:00,2014,217,True,True
Bald Hill 3 Fire,Humboldt,12,41.13,-123.75,2014-09-12 15:00:00+00:00,2014,210,False,False
Shoemaker Fire,Los Angeles,19,34.23,-117.77,2014-08-14 12:48:00+00:00,2014,190,False,False
Indian Fire,Lake,17,39.16,-122.6,2014-05-25 12:20:00+00:00,2014,175,True,False
Dry Fire,Shasta,45,40.66,-122.22,2014-07-09 13:45:00+00:00,2014,143,True,False
Haigh Fire,Mariposa,22,37.71,-120.2,2014-06-10 15:11:00+00:00,2014,130,True,True
Curie Fire,Santa Clara,43,37.33,-121.89,2014-06-30 14:10:00+00:00,2014,125,True,False
Gun Fire,San Diego,37,32.81,-116.49,2014-03-08 12:30:00+00:00,2014,125,False,False
Reed Fire,Calaveras,5,38.18,-120.68,2014-06-20 15:27:00+00:00,2014,120,True,False
Brewer Fire,Placer,31,38.84,-121.44,2014-01-22 13:10:00+00:00,2014,120,True,False
Bridges Fire,Inyo,14,37.4,-118.35,2014-04-19 15:54:00+00:00,2014,113,True,True
Lake Fire,Fresno,10,36.83,-119.34,2014-01-25 06:37:00+00:00,2014,106,True,False
River Fire,San Diego,37,32.72,-117.16,2014-05-14 12:12:00+00:00,2014,105,False,False
Little Fire,Modoc,25,41.51,-121.27,2014-08-12 15:00:00+00:00,2014,101,True,False
Saratoga Fire,Lake,17,39.1,-122.81,2014-09-03 16:03:00+00:00,2014,100,True,False
